fortunate | בר מזל
fortune | הון, מזל
gesture | מחווה, תנועה
gravitation | כוח המשיכה
ill | חולה
illness | מחלה
inanimate | דומם
inaudible | שלא ניתן לשמוע
individual | פרט, יחיד
inventor | ממציא
inventory | רשימת מלאי
isolate | לבודד
magical | קסום
market | שוק, לשווק
nomination | מינוי, מועמדות
nominee | מועמד
ordain | להסמיך, למנות
overestimated | העריך יתר על המידה
overlook | להתעלם, להעלים עין
peer | עמית, שווה מעמד
plant | לשתול, צמח, מפעל
plantation | מטע
population | אוכלוסייה
pure | טהור
purification | טיהור
range | טווח
recruit | לגייס
recruitment | גיוס
rehabilitation | שיקום
relate | לספר, לייחס
relations | יחסים
relationship | מערכת יחסים, קשר
relative | קרוב משפחה, יחסי
relatively | באופן יחסי
release | לשחרר, לפרסם
request | לבקש, בקשה
ruin | להרוס
ruins | הריסות
sacred | קדוש, מקודש
shelter | מחסה, לגונן
slavery | עבדות
strike | להכות, לתקוף, לשבות
target | מטרה, להפוך למטרה
tempt | לפתות
tense | מתוח, לחוץ
tension | מתח
tradition | מסורת
transplant | השתלה, להשתיל
underestimated | העריך נמוך מדי
unfortunate | אומלל, חסר מזל
urge | דחף, לדחוק ב-
urgency | דחיפות
urgent | דחוף
vast | רחב, עצום
version | גרסה
withhold | למנוע מ-
witness | עד, להיות עד ל-
stress | לחץ, דגש, להלחיץ
substitute | תחליף, להחליף
superficial | שטחי
distressingly | באופן מרגיז
encompass | להקיף, להכיל
fall | ליפול, נפילה, סתיו
hectic | עמוס, קדחתני
achieve | להשיג
act | לפעול, מעשה, לשחק
allure | פיתוי, לפתות
condone | למחול, לסלוח
constitute | להוות, להרכיב
distress | מצוקה
incite | להסית, לשלהב
industrialization | תיעוש
industrious | חרוץ, שקדן
industriously | בשקדנות
industry | תעשייה
limit | גבול, להגביל
lure | פיתיון, לפתות
luring | מפתה
mediate | לתווך
mediator | מתווך
