defeated | הובס
defend | להגן
defense | הגנה
demographic | דמוגרפי
diagnose | לאבחן
director | מנהל, במאי
discriminate | להפלות
disposable | חד-פעמי
distribute | להפיץ
distribution | הפצה
document | לתעד, מסמך
duty | תפקיד, חובה
earn | להרוויח
edge | קצה, חספוס
elaborate | לפרט, להרחיב
emigrate | להגר
enlarge | להגדיל
epidemic | מגיפה, אפידמיה
eraser | מחק
ethical | אתי, מוסרי
evade | התחמק
evidence | ראיה
exception | יוצא מהכלל
facility | מתקן
fail | להיכשל
faith | אמון
flourish | לשגשג, לפרוח
follow | לעקוב, לציית
for the sake of | למען
forsake | לזנוח
future | עתיד
global | עולמי, גלובאלי
goal | מטרה
group | קבוצה, לקבץ
hold back | לעכב, למנוע
homeland | מולדת
honest | הגון
honor | לכבד, כבוד
huge | עצום, ענק
idea | רעיון
identify | לזהות
imagination | דמיון
impart | להעביר, להקנות
impossible | בלתי אפשר
imprisoned | כלוא
in order | תקין, מסודר
incredible | מדהים
inferred | נגזר, משתמע
intentional | מכוון
interact | לתקשר, להשפיע
know, knew | לדעת, ידע
laid | מונח
lane | מסלול
limitation | מגבלה
lobby | לובי, מבואה, לשדל
mammal | יונק
modernize | להפוך למודרני
mold | עובש, לעצב
motivate | לדרבן
negate | לשלול
neutral | ניטרלי
operation | מבצע, פעולה, ניתוח
ordinary | רגיל
organ | אורגן (כלי נגינה), איבר
overdue | שעבר זמן ההגשה שלו
pair | זוג
parent | הורה
parenting | הורות
participate | השתתף
particulars | פריטים
person | אדם
pioneer | חלוץ
poverty-stricken | מוכה עוני
precedent | תקדים
predecessors | קודמים
predestined | נקבע מראש
predictive | נבואי
product | מוצר
professional | מקצועי
railroad | מסילת רכבת
random | מקרי, אקראי
randomly | באקראיות
reaction | תגובה
reconstruct | לשחזר
relevant | רלוונטי, קשור
relocate | למקם מחדש
rely | להסתמך
reporter | עיתונאי
require | לדרוש, דרישה
resume | להמשיך
resumption | חידוש
rule | כלל, חוק, שלטון, לשלוט, לפסוק, להחליט
