excessive | מוגזם, מופרז
general | כללי
generalize | להכליל
image | תמונה, תדמית
imaginary | דמיוני, מדומה
imaginative | בעל דמיון
imagine | לדמיין
inaccessible | לא נגיש
interest | עניין, אינטרס
interesting | מעניין
joy | שמחה
lame | נכה, חלש, עלוב
link | קישור, לחבר
linked with | קשור ל-
lose | לאבד, להפסיד
lost | אבוד, מבוזבז
mean | להתכוון, אכזרי
meaning | משמעות
means | אמצעים, משאבים
medication | טיפול תרופתי
medicine | תרופה, רפואה
mild | מתון, עדין
mobile | נייד
move | להזיז, לרגש
need | צורך, להזדקק
pardon | חנינה, לסלוח
progress | התקדמות, להתקדם
progressive | מתקדם
research | מחקר, לחקור
rise | עלייה, להתרומם
rude | חצוף
rudely | בחוצפה
scale | סולם, קנה מידה
science | מדע
scientific | מדעי
scientist | מדען
search | חיפוש, לחפש
seat | מושב, להושיב
send | לשלוח
session | מפגש, ישיבה
soft | רך
softly | ברכות
source | מקור, מוצא
stage | שלב, במה
tail | זנב, לעקוב
therapy | טיפול, תרפיה
turn | תור, לסובב
type | סוג
unattractive | לא מושך
use | שימוש, להשתמש
private | פרטי
profound | מעמיק, עמוק
profoundly | עמוקות
populous | מאוכלס בצפיפות
predator | טורף
innovate | לחדש, להמציא
inspiration | השראה
inspire | לעורר השראה
invent | להמציא
acquisition | רכישה
adore | להעריץ, לחבב
alternate between | להחליף בין אפשרויות
amaze | להדהים
amazing | מדהים
animate | להחיות, ערני
animation | אנימציה, הנפשה
aspiration | שאיפה
attire | לבוש
authentically | באמת
authenticate | לאמת, לאשר
become | להפוך ל-
branch | סניף, ענף
campaign | קמפיין, מסע פרסום
climate | אקלים
contain | להכיל
exaggeration | הגזמה
expand | להרחיב, להתפשט
fatal | קטלני
fate | גורל
festivity | חגיגיות
fortunate | בר מזל
fortune | הון, מזל
gesture | מחווה, תנועה
gravitation | כוח המשיכה
ill | חולה
illness | מחלה
inanimate | דומם
inaudible | שלא ניתן לשמוע
individual | פרט, יחיד
inventor | ממציא
inventory | רשימת מלאי
isolate | לבודד
magical | קסום
market | שוק, לשווק
nomination | מינוי, מועמדות
nominee | מועמד
ordain | להסמיך, למנות
overestimated | העריך יתר על המידה
overlook | להתעלם, להעלים עין
peer | עמית, שווה מעמד
plant | לשתול, צמח, מפעל
plantation | מטע
population | אוכלוסייה
pure | טהור
purification | טיהור
range | טווח
recruit | לגייס
recruitment | גיוס
rehabilitation | שיקום
relate | לספר, לייחס
relations | יחסים
relationship | מערכת יחסים, קשר
relative | קרוב משפחה, יחסי
relatively | באופן יחסי
release | לשחרר, לפרסם
request | לבקש, בקשה
ruin | להרוס
ruins | הריסות
sacred | קדוש, מקודש
shelter | מחסה, לגונן
slavery | עבדות
strike | להכות, לתקוף, לשבות
target | מטרה, להפוך למטרה
tempt | לפתות
tense | מתוח, לחוץ
tension | מתח
tradition | מסורת
transplant | השתלה, להשתיל
underestimated | העריך נמוך מדי
unfortunate | אומלל, חסר מזל
urge | דחף, לדחוק ב-
urgency | דחיפות
urgent | דחוף
vast | רחב, עצום
version | גרסה
withhold | למנוע מ-
witness | עד, להיות עד ל-
stress | לחץ, דגש, להלחיץ
substitute | תחליף, להחליף
superficial | שטחי
distressingly | באופן מרגיז
encompass | להקיף, להכיל
fall | ליפול, נפילה, סתיו
hectic | עמוס, קדחתני
achieve | להשיג
act | לפעול, מעשה, לשחק
allure | פיתוי, לפתות
condone | למחול, לסלוח
constitute | להוות, להרכיב
distress | מצוקה
incite | להסית, לשלהב
industrialization | תיעוש
industrious | חרוץ, שקדן
industriously | בשקדנות
industry | תעשייה
limit | גבול, להגביל
lure | פיתיון, לפתות
luring | מפתה
mediate | לתווך
mediator | מתווך
mourn | להתאבל
onset | התחלה, התקפה
parallel | מקביל, להקביל
pledge | הבטחה, להתחייב
projection | השלכה, הקרנה
seduction | פיתוי
sophisticated | מתוחכם
sophistication | מורכבות, תחכום
active | פעיל
addition | תוספת
additional | נוסף
advise | לייעץ, להמליץ/להודיע
appeal | לערער/פנייה/ערעור/משיכה
appealed to | משך/פנה אל
assign | להקצות
aware | להיות מודע
besides | כמו כן, חוץ מזה
bleed | לדמם
blind | לעוור/עיוור
blindly | באופן עיוור
blood | דם
blunt | קהה/בוטה
broad | רחב
broadly | בדרך כלל/באופן רחב
bury | לקבור
carefully | בזהירות
century | מאה (תקופה)
certificate | תעודה, אישור
certify | לאשר/להסמיך
clean | לנקות/נקי
column | עמוד/טור
confusing | מבלבל
confusion | מהומה/בלבול
consume | לצרוך/לעכל
consumer | צרכן
deal | להתמודד/עסקה
deliberate | לדון/מכוון
deliberation | דיון/שקילה/תשומת לב
destination | יעד
destined for | מיועד ל
develop | לפתח
developed | מפותח מתועש
development | פיתוח/התפתחות
doubt | להטיל ספק/ספק
drop out | לנשור (למשל מהלימודים)
