easily | בקלות
emblem | סמל
engrave | לחרוט
enzyme | אנזים
equality | שוויון, במידה שווה
equates | להשוות, להתאים
evolutionary | התפתחותי
evolved | התפתח
excessively | בצורה מוגזמת
exclusive | בלעדי
explore | לחקור, ללמוד
exquisite | מצוין, חד, מעודן, אנין
factor | גורם
favored | מועדף
fight, fought | לריב, רב
flat | שטוח, דירה
flew | עף
foil | לסכל
forerunner | אות, סימן מבשר באות, שליח, חלוץ, מבשר
fossil | מאובן
genius | גאון
gentle | עדין
genuine | אמיתי, מקורי
guard | שומר, לשמור
handle | להתמודד
harder | קשה יותר
hazardous | מסוכן
heredity | תורשה
hospital | בית חולים
hospitalize | לאשפז
hunger | רעב
ideal | אידיאל, אידיאלי
immense | כביר, עצום
immigrate | להגר
impulse | דחף
impulsively | ללא שיקול דעת, באימפולסיביות
in favor of | לטובת
indifference | אדישות
innate | מולד
inner | פנימי
inquire | לתשאל, לברר
inspiring | נותן השראה
Jew | יהודי
kind | סוג / טוב לב, אדיב, נעים
landmark | אבן דרך
lens | עדשה
license | רישיון / לאשר, להתיר
lifetime | תקופת החיים, במשך החיים
literary | ספרותי
losing | מפסיד
mail | דואר
mailman | דוור
mate | בן זוג, חבר / להזדווג
mayor | ראש עיר
mediocre | בינוני (במובן שלילי)
miserable | אומלל
moist | לחות
moral | מוסר
morale | מורל
nocturnal | לילי
noon | 12:00 (צהריים)
notable | נכבד
notify | להודיע, ליידע
offshore | חו"ל
orbit | לחוג, להסתובב
orient | להתמצא
oriented | מכוון, מונחה
outer | חיצוני
overlooked | העלים עין
party | מפלגה / מסיבה
pattern | דוגמה, תבנית
penned | כָּתַב
piece | יצירה / חתיכה, חלק
poacher | מסיג גבול, צייד לא מורשה
practical | מעשי
prescription | מרשם
preserve | לשמר
pretext | אמתלה, תואנה
prevention | מניעה
project | לתכנן / פרויקט, מיזם / להשליך, להקרין
prompted | הביא לידי
proponent | תומך
pump | משאבה, לשאוב
pursuit | מרדף
radically | באופן קיצוני
rank | דרגה
ray | קרן, אלומת אור
razor | סכין גילוח
reconcile | להתפייס
reinvigorate | לרענן, להמריץ מחדש
religious | דתי
remainder | שארית
renovate | לחדש, לשפץ
respective | שייך בהתאמה
respectively | בהתאמה
revoke | לבטל, לשלול
reward | פרס, לתגמל
rough | קשה, מחוספס
rudimentary | יסודי, בסיסי
sacrifice | להקריב, קורבן
sake | תועלת, עניין
screen | לסרוק / מסך, צג, וילון / לסנן
seek, sought | לחפש, חיפש
seismic | ססמי (קשור לרעידות אדמה)
series | סדרה
shift | משמרת / להזיז
shiny | בוהק, נוצץ
side effect | תופעת לוואי
sketch | סקיצה, איור, שרטוט
skyrocket | להאמיר
skyscraper | גורד שחקים
sorrow | צער, עצב
spark | ניצוץ, גיץ
spectacular | מדהים
spirit | רוח הדברים, כוונה / נפש, רוח רפאים
spiritual | רוחני
steam | לאדות, אד
steamship | אוניית קיטור
straightforward | ישיר
stream | זרם, נחל, לזרום
stricken | מוכה
strife | עימות, מאבק
stripes | פסים
stumble | למעוד
suspicious | חשוד (משהו)
terrain | שטח
theme | נושא
tight | צמוד, לחוץ, הדוק
ultimate | סופי, מוחלט
unbearable | בלתי נסבל
uncountable | אינספור
unforgettable | בלתי נשכח
unsafe | לא בטוח
vain | לשווא / שחצן
versions | גרסאות
vessel | כלי שיט
village | כפר
virtual | וירטואלי, מדומה
virtually | בעצם, למעשה
visual | חזותי
visualize | לדמיין
weigh | לשקול
wisdom | בינה, חכמה
abstain | להימנע ממשהו, להתנזר
accentuate | להדגיש, להבליט
acknowledge | לדעת, להכיר
advertise | פרסום
advertisement | פרסום, מודעה
affinity | קירבה, זיקה, משיכה
agitate | לעצבן, לזעזע, להסעיר
agonize | לייסר, לענות
agony | ייסורים
aisle | מעבר
