announce | להודיע, להכריז
announcement | הכרזה
attitude | גישה, עמדה/מצב רוח
bond | להיקשר/קשר/איגוד/אגרת חוב
case | לארוז/תיבה/תיק/משפט/מקרה
cave | לחפור/מערה
citizen | אזרח, תושב
coexist | להתקיים יחד
commission | עמלה/הוראה/מינוי/ועדה
commissioner | נציב, ממונה, מפקח
confiscate | להחרים
conformity | שמרנות/צייתנות
cost | עלות, מחיר
costly | יקר
counteract | לבטל, לנטרל
data | מידע
denounce | להוקיע, לגנות/להאשים
dismiss | לפטר, להדיח/לסלק
disposition | מזג, אופי/נטייה/היערכות
entitled | זכאי, ראוי
eventual | סופי
exist | להתקיים
existence | קיום
extract | לתמצת/להפיק/לחלץ
finance | לממן/מימון, כספים
financial | כספי, פיננסי
fragile | שביר
garment | להלביש/לבוש, בגד/כיסוי
illustrate | לאייר, לעטר/להמחיש
illustration | איור
impair | לפגום, להחליש
in case of | במקרה של
incentive | תמריץ
introduce | להציג
introduction | מבוא/הצגה, היכרות
mark | לסמן/סימן, אות/חותם
negotiation | משא ומתן
novel | רומן, נובלה/חדש
organization | ארגון
organize | לסדר, לארגן
passion | תאווה, התלהבות/תשוקה
passionate | נלהב/מלא תשוקה
persecute | לרדוף, להציק
persecution | רדיפה
policy | מדיניות
position | עמדה/תפקיד
possess | לכבוש/להיות בעלים של
possession | בעלות, חזקה
process | לעבד/תהליך
quote | לצטט/ציטוט
rail | מסילה/מעקה
rein | לרסן, לבלום/מושכות
remark | להבחין/להעיר/הערה
remarkable | ראוי לציון, יוצא דופן
repetition | חזרה
revise | לתקן, לשפר
revision | בדיקה מחדש
rumor | שמועה
seed | לזרוע/גרעין
site | לאתר, למקם/אתר
soil | ללכלך/אדמה, קרקע/לכלוך
strive | לשאוף, לחתור
substance | חומר
tangible | מוחשי, ברור
terminate | לסיים
twist | לפתל/לעוות/תסבוכת/תפנית
verify | לאמת, לוודא
waste | לבזבז/פסולת
wasteful | בזבזני
wrap | לעטוף, לארוז
adorn | לקשט, לעטר
advocate | לסנגר/לתמוך/חסיד
allusion | אזכור/אלוזיה, הרמז
burden | להעמיס, להכביד/נטל, משא
contend | להתחרות, להתמודד/לטעון
deter | להרתיע
docile | צייתן, כנוע
enthusiast | נלהב/מעריץ, חסיד
grant | להעניק/מענק
indignant | אינו מרוצה כתוצאה מחוסר צדק
