mourn | להתאבל
onset | התחלה, התקפה
parallel | מקביל, להקביל
pledge | הבטחה, להתחייב
projection | השלכה, הקרנה
seduction | פיתוי
sophisticated | מתוחכם
sophistication | מורכבות, תחכום
active | פעיל
addition | תוספת
additional | נוסף
advise | לייעץ, להמליץ/להודיע
appeal | לערער/פנייה/ערעור/משיכה
appealed to | משך/פנה אל
assign | להקצות
aware | להיות מודע
besides | כמו כן, חוץ מזה
bleed | לדמם
blind | לעוור/עיוור
blindly | באופן עיוור
blood | דם
blunt | קהה/בוטה
broad | רחב
broadly | בדרך כלל/באופן רחב
bury | לקבור
carefully | בזהירות
century | מאה (תקופה)
certificate | תעודה, אישור
certify | לאשר/להסמיך
clean | לנקות/נקי
column | עמוד/טור
confusing | מבלבל
confusion | מהומה/בלבול
consume | לצרוך/לעכל
consumer | צרכן
deal | להתמודד/עסקה
deliberate | לדון/מכוון
deliberation | דיון/שקילה/תשומת לב
destination | יעד
destined for | מיועד ל
develop | לפתח
developed | מפותח מתועש
development | פיתוח/התפתחות
doubt | להטיל ספק/ספק
drop out | לנשור (למשל מהלימודים)
empire | אימפריה
enjoy | ליהנות
envelope | מעטפה, מעטפת עטיפה
face | לפנות/לעמוד פנים אל פנים/פנים
facial | שקשור לפנים
globe | גלובוס/כדור הארץ
good | טוב
goods | סחורה
hint | לרמוז/רמז
hope | לקוות/תקווה
in addition | בנוסף
language | שפה
learn | ללמוד
lesson | שיעור
once | פעם, פעם אחת
safe | בטוח/כספת
sudden | פתאומי
surface | לעלות, להגיח/משטח
misunderstood | שהבינו אותו לא נכון
neither | אף לא אחד מהשניים
notice | לשים לב, להבחין/הודעה, תזכורת
occupation | עיסוק, מקצוע/כיבוש
assignment | משימה
assure | להבטיח
budget | תקציב
chronology | רצף אירועים/כרונולוגיה
clarify | להבהיר, להסביר/לסנן (נוזל למשל)
collide | להתנגש
collision | התנגשות
compatible | מתאים
contact | ליצור קשר/מגע
contract | להתכווץ, לצמצם/הסכם, חוזה
convert | להמיר
demonstrate | להדגים/להפגין
economic | כלכלי, פיננסי, חסכוני
