classify | לסווג, למיין
companion | בן לוויה, חבר
compromise | להתפשר/להעמיד בסיכון/פשרה
confer | להתייעץ/להעניק במתנה
conference | ועידה
consistency | סמיכות/עקביות/הרכב
detach | להפריד, לנתק/להקצות
disappear | להיעלם/להיכחד
distort | לעוות, לסלף
distorted | מעוות/שהושחת
distract | להסיח
distraction | הסחה
event | אירוע, מקרה
exploit | לנצל/למצות/להפיק תועלת
familiar with | מכיר את, בקיא ב
feelings | תחושות, רגשות
fertile | פורה, שופע
fertility | פוריות
fertilize | להפרות
generate | לייצר, לחולל
generators | מחוללים/גנרטורים
hibernate | להיות בתרדמת חורף
immodest | חסר בושה, חצוף
inflict | לגרום, להסב/להטיל (עונש)
inspection | בדיקה, פיקוח
institute | להקים, לייסד/מוסד, ארגון
intrude | להפריע/להתפרץ
invade | לפלוש
lethargic | עייף, לאה, רדום
logic | היגיון
medium | בינוני, אמצעי/מדיום
mention | לציין, להזכיר/אזכור
modest | צנוע/מועט
motivation | מוטיבציה, הנעה
mundane | יומיומי, שגרתי/ארצי
novelty | חידוש/קישוט קטן
observe | להתבונן/להבחין/לציין
obtain | להשיג/לקבל
ornament | עיטור, קישוט
outline | לתאר בכלליות/קו מתאר
outstanding | יוצא מהכלל, יוצא דופן
petition | עצומה/עתירה
polite | מנומס
politely | בנימוס
pool | בריכת שחייה/מאגר
postpone | לדחות למועד אחר
predict | לחזות, לנבא
predictable | צפוי
prediction | תחזית/נבואה
prize | להוקיר, להעריך/פרס
prophecy | נבואה, חזון
prophet | נביא
provincial | פרובינציאלי/מחוזי, אזורי
radiation | קרינה
regardless | ללא התחשבות/למרות
reply | להשיב
resemble | להידמות
ritual | פולחן
scene | סצנה, מערכה/זירה/נוף
scenery | נוף/תפאורה
smooth | להחליק/להרגיע/חלק/עדין
strict | קפדן, נוקשה/מוחלט
strictly | בקפידה/בדיוק/בפירוש
submit | להגיש/להיכנע
sympathetic | אוהד, סימפתי
unpredictable | בלתי צפוי
adequate | הולם/מספיק
ascend | להתרומם, לנסוק, לעלות
boundary | גבול, תחום
coarse | גס, חסר עידון/בוטה
defer | לעכב, לדחות/להיענות
descend | לרדת, להנמיך
detain | לעצור, לעכב, לכלוא
diverse | מגוון/מובחן/שונה
diversity | גיוון/נקודת מחלוקת
enroll in | לקחת חלק ב
extent | תחום, גבול/שיעור, מידה
hereditary | תורשתי
inadequate | בלתי מתאים/לקוי
inert | אדיש
