penal | פלילי, של עונש
penalize | להעניש
penalty | עונש, קנס
polar | קוטבי
polarize | לקטב/להתנגד
prominence | חשיבות/התבלטות
prominent | בולט/חשוב
slander | להשמיץ, להכפיש/הכפשה
stiff | נוקשה/קשיח
supplant | להחליף/לתפוס מקומו בכח
surmount | להתגבר על
area | אזור
behave | להתנהג
behavior | התנהגות, התנהלות
buy | לקנות, לרכוש
ceremony | טקס
condition | תנאי/מצב
conditional | מותנה, בהתניה מסוימת
correspondence | התכתבות/התאמה/הסכמה
creative | יצירתי
creature | יצור/יציר
debate | להתדיין/להתלבט/דיון
debt | חוב
deliver | לשלוח, להעביר/לשחרר/לשאת דברים
delivery | משלוח/לידה
element | יסוד, אלמנט/רכיב
employ | להעסיק/להפעיל
employment | תעסוקה
endurable | נסבל
endurance | כוח סבל
endure | לסבול, לשאת/להחזיק מעמד
engage in | להתעסק ב
engagement | התחייבות/אירוסין
enough | מספיק, די
enrich | להעשיר
erase | למחוק
evaluate | להעריך
examine | לבחון
experience | ניסיון
explanation | הסבר
fit | להתאים/מתאים/כשיר
garbage | אשפה, זבל
gift | מתנה
guess | לנחש/ניחוש
headache | כאב ראש
hear | לשמוע
installation | התקנה/התקן
involve | לערב
join | להצטרף
loud | קולני, רועם
loudly | בקול רם
molecule | מולקולה
more | יותר
narrow | לצמצם/צר
option | אפשרות, אופציה
other | אחר, שונה
proper | הולם, מתאים/תקין
properly | כיאות, היטב
question | לשאול/לפקפק/שאלה
questioned | מוטל בספק/נשאל
respond | להגיב
response | תגובה
serious | רציני, חמור
tall | גבוה
teach | ללמד
test | לבחון/מבחן
unit | יחידה
valuable | בעל ערך, יקר ערך
value | להעריך/להוקיר/ערך
answer | לפתור/להשיב/תשובה, פתרון
apparent | גלוי, נראה
appear | להיראות, להופיע
approximately | בקירוב
aspect | אופי, הבט, פן/מראה
attach | לחבר
attain | להשיג/לקבל
bright | בהיר, זוהר/מבריק, פיקח
charge | לטעון/לחייב/להאשים/להסתער
cheer | לעודד/עידוד, שמחה
classification | סיווג, מיון
