economize | לחסוך
economy | כלכלה
emphasize | להדגיש
enroll | לרשום/להתעדכן/לגולל
ensure | להבטיח
expel | לגרש
expert | מומחה
export | לייצא
failure | כישלון
fragrance | ריחניות/ניחוח
fragrant | מפיץ ריח טוב/נעים, מענג
frustrated | מיואש, מתוסכל
frustration | תסכול
glare | מבט חודר, תוקף/ברק
government | ממשלה
governor | מושל
grasp | לתפוס/להבין
harsh | נוקשה
hide from | להסתיר מ/להסתתר מ
import | לייבא
impression | רושם, חוות דעת/חיקוי
imprint | הטבעה, חותם
infinite | אינסופי
initial | התחלתי, ראשוני
initials | ראשי תיבות
inquiry | חקירה
insensitive | לא מתחשב, לא רגיש
interject | להכניס בין דברים (להפריע)
interpret | לפרש
interpretation | פרשנות
material | חומר
materialize | להתגשם, להפוך לגשמי
maze | מבוך
measure | למדוד/מידה/אמת מידה
measurement | מדידה
misinterpreted | שלא פורש נכונה
operate | לפעול/לנתח
operative | ביצועי/ניתוחי
permission | רשות
permit | להרשות, להתיר/היתר
preferable | מועדף
prey | טרף
print | להדפיס/טקסט כתוב, דפוס
reassurance | הרגעה, עידוד
recognize | להכיר, לזהות
renowned | ידוע, מפורסם
review | לסקור/לכתוב ביקורת
schedule | לקבוע/לוח זמנים
sense | להרגיש/חוש, תחושה/היגיון
sensible | הגיוני
sensitive | רגיש
shield | להגן/מגן
species | מינים, זנים
summarize | לסכם
summary | תקציר, סיכום
tax | מס
term | להגדיר/מונח/תנאי/סמסטר
tolerance | סובלנות
tolerate | להיות סובלני
transition | מעבר/ שינוי
transport | להעביר
transportation | אמצעי תחבורה
understand | להבין
understandable | מובן
undertake | ליטול על עצמו/להבטיח
union | איחוד, איגוד
unsatisfied | שאינו מסופק
violate | להפר
violence | אלימות
volcano | הר געש
taint | לפגום/להכתים/לזהם
tremble | לרעוד, לשקשק/לפחד
viscera | מעיים
eminent | בולט, מכובד, בכיר
heir | יורש
implore | להפציר, להתחנן
memorization | שינון
memorize | לשנן
mural | ציור קיר
mutiny | מרד
