chronicle | קורות, היסטוריה
compensate | לפצות
compensation | פיצוי
component | רכיב
convey | למסור, להעביר
deficiency | מחסור, פגם
deficit | גירעון
depend | תלוי
dependence | תלות
depict | לתאר
dexterity | מיומנות
domestic | ביתי/מקומי
domesticated | מבוית, מאולף
dominate | לשלוט
duplicate | לשכפל
envy | לקנא/קנאה
ferment | לתסוס/תסיסה/שמרים
gratify | להשביע רצון
guarantee | להתחייב/אחריות/ערובה
icicle | נטיף קרח
impose | לכפות/להציב
independent | עצמאי/בלתי תלוי
life span | תוחלת חיים
modify | לשנות, להתאים
pen | לכתוב/לכלוא/עט/מכלאה
pose | למקם/להעמיד פנים/תנוחה
predominate | לשלוט, להתבלט
promptly | מיידית, ללא דיחוי
roam | לשוטט/שוטטות
stimulate | להמריץ
timid | ביישן
vanquish | להעלים/להביס
agency | סוכנות, משרד
arrangement | סידור/הסכם
blow | לנשף/מכה
bone | עצם (בגוף)
displacement | העברה, עקירה
dusty | מאובק
dwell | להתגורר, לשכון
dwelling | בית מגורים, משכן
education | חינוך
educational | חינוכי
effort | מאמץ
empty | לרוקן/ריק
end | לסיים/סוף
environment | סביבה
essay | מאמר, חיבור
exhibit | להציג/תצוגה, מוצג
exhibition | תערוכה
fact | עובדה
famous | מפורסם
glow | לזהור/זהר
infamous | ידוע לשמצה/מגונה
invite | להזמין
layer | שכבה
leave | לעזוב
length | אורך
open | לפתוח/פתוח
people | אנשים/עם
perform | להופיע/לבצע
performance | ביצוע/הופעה
performer | מבצע/אמן
personal | אישי
personality | אישיות
place | למקם/מקום
plan | לתכנן/תכנית
preparation | הכנה
press | ללחוץ/עיתונות
promise | להבטיח/הבטחה
property | רכוש/מאפיין, תכונה
retire | לפרוש
retirement | פרישה
share | לחלוק/מנייה/חלק
shy | ביישן
skill | מיומנות
skin | עור
spend | להעביר (זמן)/לבלות
staff | צוות, סגל/מטה
station | להציב, למקם/תחנה
supply | לספק/אספקה
survive | לשרוד
system | שיטה/מערכת
systematic | מערכתי, שיטתי
team | לצוות/צוות
train | לאמן/רכבת
training | אימון/כושר
translate | לתרגם
vote | להצביע/הצבעה
wave | לנפנף/נפנוף/גל
wind | לעקל/ללפף/רוח
windmill | תחנת רוח
wine | יין
wood | יער/עץ
work | עבודה
acid | חומצה
approach | להתקרב, לגשת/גישה
assemble | לכנס, לאסוף/להרכיב
assembly | אסופה, התקהלות
asset | נכס, קניין
attend | להיות נוכח, להשתתף
attendant | מלווה/משרת/סדרן
attribute | לייחס/תכונה
avert | למנוע/להסיט
capacity | קיבולת/יכולת
condensation | דחיסה/עיבוי (של מים)
condense | לדחוס, לרכז/לעבות
continent | יבשת
core | ליבה
counterpart | עמית/מקביל
describe | לתאר
description | תיאור
desert | לעזוב, לנטוש/מדבר
dispose | להיפטר
distinction | הבחנה/הבדל/הוקרה
dump | להשליך/מזבלה/זבל
elect | לבחור, להצביע
election | בחירה, בחירות
eloquent | רהוט
essence | תמצית, מהות
essential | חיוני, הכרחי
excavate | לחפור
exile | לגרש/גלות, גולה
fascinate | לרתק, לסקרן
fascinating | מרתק
fascination | קסם, משיכה
feature | תכונה, מאפיין
fee | שכר, גמול/אגרה
feud | סכסוך/שנאה
figure | לחשב/להסיק/דמות
figure out | להבין
flow | לזרום/זרם, שטף/גאות
fund | לממן/הון/קרן
fundamentally | ביסודו, בעיקרו
grime | לזהם/זוהמה
halt | לעצור/עצירה
immune | לחסן/מחוסן
immunity | חסינות
ingredient | מרכיב
invest | להשקיע
investment | השקעה
loom | להופיע במעורפל/לארוג
motif | מוטיב, רעיון מרכזי
obstinate | עקשן/נוקשה
oppress | לדכא, לייסר
oppression | דיכוי
orientation | מגמה/אוריינטציה
pace | לקבוע קצב/לצעוד/קצב
peak | להגיע לשיא/פסגה, שיא
phase | לתכנן בשלבים/שלב
prescribe | לרשום מרשם (רופא)
proscribe | לגנות/לאסור/להוציא מחוץ לחוק
reef | שונית, ריף
refund | החזר כספי
root | לעקור מהשורש/שורש
routine | שגרה/שגרתי
sail | להפליג/מפרש
sample | לדגום/דוגמה/מדגם
scatter | לפזר
shed | להשיל/להשיר/לפזר
spill | לשפוך, להתיז/דליפה
spontaneously | באופן ספונטני
spread | להפיץ/להתפשט/פיזור
stale | לא טרי, מעופש
step | לצעוד/צעד/מדרגה
summit | פסגה
supposedly | לכאורה
surround | להקיף, לכתר
sympathy | אהדה, סימפתיה
syndrome | תסמונת
toad | קרפדה
tomb | קבר
trace | לעקוב/עקבה/סימן
trade | לסחור/מסחר
trend | כיוון, מגמה/טרנד
tribe | שבט
undergo | לחוות, להתנסות
underline | להדגיש בקו
vigilance | ערנות, דריכות
vivacious | מלא חיים, נמרץ
vivid | חד, בהיר/מלא חיים
wage | לנהל/לערוך/שכר
weave | לארוג, לרקום
ambiguous | דו משמעי/מעורפל
barter | להתמקח/סחר חליפין
competent | בעל יכולת, כשיר
courteous | אדיב
courtesy | התנהגות מנומסת/מחווה
define | להגדיר
definition | הגדרה
drastic | קיצוני, דרסטי
