excessive | מוגזם, מופרז
general | כללי
generalize | להכליל
image | תמונה, תדמית
imaginary | דמיוני, מדומה
imaginative | בעל דמיון
imagine | לדמיין
inaccessible | לא נגיש
interest | עניין, אינטרס
interesting | מעניין
joy | שמחה
lame | נכה, חלש, עלוב
link | קישור, לחבר
linked with | קשור ל-
lose | לאבד, להפסיד
lost | אבוד, מבוזבז
mean | להתכוון, אכזרי
meaning | משמעות
means | אמצעים, משאבים
medication | טיפול תרופתי
medicine | תרופה, רפואה
mild | מתון, עדין
mobile | נייד
move | להזיז, לרגש
need | צורך, להזדקק
pardon | חנינה, לסלוח
progress | התקדמות, להתקדם
progressive | מתקדם
research | מחקר, לחקור
rise | עלייה, להתרומם
rude | חצוף
rudely | בחוצפה
scale | סולם, קנה מידה
science | מדע
scientific | מדעי
scientist | מדען
search | חיפוש, לחפש
seat | מושב, להושיב
send | לשלוח
session | מפגש, ישיבה
soft | רך
softly | ברכות
source | מקור, מוצא
stage | שלב, במה
tail | זנב, לעקוב
therapy | טיפול, תרפיה
turn | תור, לסובב
type | סוג
unattractive | לא מושך
use | שימוש, להשתמש
private | פרטי
profound | מעמיק, עמוק
profoundly | עמוקות
populous | מאוכלס בצפיפות
predator | טורף
innovate | לחדש, להמציא
inspiration | השראה
inspire | לעורר השראה
invent | להמציא
acquisition | רכישה
adore | להעריץ, לחבב
alternate between | להחליף בין אפשרויות
amaze | להדהים
amazing | מדהים
animate | להחיות, ערני
animation | אנימציה, הנפשה
aspiration | שאיפה
attire | לבוש
authentically | באמת
authenticate | לאמת, לאשר
become | להפוך ל-
branch | סניף, ענף
campaign | קמפיין, מסע פרסום
climate | אקלים
contain | להכיל
exaggeration | הגזמה
expand | להרחיב, להתפשט
fatal | קטלני
fate | גורל
festivity | חגיגיות
